dataset,dimension,rule_id,rule_name,column_name,rule_type,expected_value,evaluated_rows,passed_rows,failed_rows,score,severity,source,status,observation,sample_failed_rows
siaf_ingresos,Completitud,siaf.ESPECIFICA_DET_NOMBRE.not_null,No nulo: ESPECIFICA_DET_NOMBRE,ESPECIFICA_DET_NOMBRE,not_null,no nulo,10777068,10777068,0,100.0,Bloqueante,profiling_bronze,Sin observaciones,Registros nulos o vacíos en ESPECIFICA_DET_NOMBRE.,[]
siaf_ingresos,Completitud,siaf.MONTO_PIA.not_null,No nulo: MONTO_PIA,MONTO_PIA,not_null,no nulo,10777068,10777068,0,100.0,Bloqueante,profiling_bronze,Sin observaciones,Registros nulos o vacíos en MONTO_PIA.,[]
siaf_ingresos,Completitud,siaf.MONTO_PIM.not_null,No nulo: MONTO_PIM,MONTO_PIM,not_null,no nulo,10777068,10777068,0,100.0,Bloqueante,profiling_bronze,Sin observaciones,Registros nulos o vacíos en MONTO_PIM.,[]
siaf_ingresos,Completitud,siaf.MONTO_RECAUDADO.not_null,No nulo: MONTO_RECAUDADO,MONTO_RECAUDADO,not_null,no nulo,10777068,10777068,0,100.0,Bloqueante,profiling_bronze,Sin observaciones,Registros nulos o vacíos en MONTO_RECAUDADO.,[]
siaf_ingresos,Completitud,siaf.DEPARTAMENTO_EJECUTORA.null_threshold,Nulos bajo umbral (0.1%): DEPARTAMENTO_EJECUTORA,DEPARTAMENTO_EJECUTORA,null_threshold,< 0.1% nulos,10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,Nulos en DEPARTAMENTO_EJECUTORA: 0.0140% (umbral: 0.1%). Dentro del umbral esperado.,[]
siaf_ingresos,Completitud,siaf.DEPARTAMENTO_EJECUTORA_NOMBRE.null_threshold,Nulos bajo umbral (0.1%): DEPARTAMENTO_EJECUTORA_NOMBRE,DEPARTAMENTO_EJECUTORA_NOMBRE,null_threshold,< 0.1% nulos,10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,Nulos en DEPARTAMENTO_EJECUTORA_NOMBRE: 0.0150% (umbral: 0.1%). Dentro del umbral esperado.,[]
siaf_ingresos,Completitud,siaf.PROVINCIA_EJECUTORA.null_threshold,Nulos bajo umbral (0.1%): PROVINCIA_EJECUTORA,PROVINCIA_EJECUTORA,null_threshold,< 0.1% nulos,10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,Nulos en PROVINCIA_EJECUTORA: 0.0140% (umbral: 0.1%). Dentro del umbral esperado.,[]
siaf_ingresos,Completitud,siaf.PROVINCIA_EJECUTORA_NOMBRE.null_threshold,Nulos bajo umbral (0.1%): PROVINCIA_EJECUTORA_NOMBRE,PROVINCIA_EJECUTORA_NOMBRE,null_threshold,< 0.1% nulos,10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,Nulos en PROVINCIA_EJECUTORA_NOMBRE: 0.0150% (umbral: 0.1%). Dentro del umbral esperado.,[]
siaf_ingresos,Completitud,siaf.DISTRITO_EJECUTORA.null_threshold,Nulos bajo umbral (0.1%): DISTRITO_EJECUTORA,DISTRITO_EJECUTORA,null_threshold,< 0.1% nulos,10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,Nulos en DISTRITO_EJECUTORA: 0.0140% (umbral: 0.1%). Dentro del umbral esperado.,[]
siaf_ingresos,Completitud,siaf.DISTRITO_EJECUTORA_NOMBRE.null_threshold,Nulos bajo umbral (0.1%): DISTRITO_EJECUTORA_NOMBRE,DISTRITO_EJECUTORA_NOMBRE,null_threshold,< 0.1% nulos,10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,Nulos en DISTRITO_EJECUTORA_NOMBRE: 0.0150% (umbral: 0.1%). Dentro del umbral esperado.,[]
siaf_ingresos,Completitud,siaf.SECTOR.conditional_null,Vacío estructural válido: SECTOR (solo cuando NIVEL_GOBIERNO=M),SECTOR,conditional_null_allowed,vacío solo cuando NIVEL_GOBIERNO=M,1896376,1896376,0,100.0,Informativo,profiling_bronze,Sin observaciones,SECTOR vacío cuando NIVEL_GOBIERNO ≠ M: 0 casos. Cuando NIVEL_GOBIERNO=M el vacío es esperado (diseño SIAF).,[]
siaf_ingresos,Completitud,siaf.SECTOR_NOMBRE.conditional_null,Vacío estructural válido: SECTOR_NOMBRE (solo cuando NIVEL_GOBIERNO=M),SECTOR_NOMBRE,conditional_null_allowed,vacío solo cuando NIVEL_GOBIERNO=M,1896376,1896376,0,100.0,Informativo,profiling_bronze,Sin observaciones,SECTOR_NOMBRE vacío cuando NIVEL_GOBIERNO ≠ M: 0 casos. Cuando NIVEL_GOBIERNO=M el vacío es esperado (diseño SIAF).,[]
siaf_ingresos,Completitud,siaf.PLIEGO.conditional_null,Vacío estructural válido: PLIEGO (solo cuando NIVEL_GOBIERNO=M),PLIEGO,conditional_null_allowed,vacío solo cuando NIVEL_GOBIERNO=M,1896376,1896376,0,100.0,Informativo,profiling_bronze,Sin observaciones,PLIEGO vacío cuando NIVEL_GOBIERNO ≠ M: 0 casos. Cuando NIVEL_GOBIERNO=M el vacío es esperado (diseño SIAF).,[]
siaf_ingresos,Completitud,siaf.PLIEGO_NOMBRE.conditional_null,Vacío estructural válido: PLIEGO_NOMBRE (solo cuando NIVEL_GOBIERNO=M),PLIEGO_NOMBRE,conditional_null_allowed,vacío solo cuando NIVEL_GOBIERNO=M,1896376,1896376,0,100.0,Informativo,profiling_bronze,Sin observaciones,PLIEGO_NOMBRE vacío cuando NIVEL_GOBIERNO ≠ M: 0 casos. Cuando NIVEL_GOBIERNO=M el vacío es esperado (diseño SIAF).,[]
siaf_ingresos,Validez,siaf.NIVEL_GOBIERNO.accepted_values,Catálogo válido: NIVEL_GOBIERNO,NIVEL_GOBIERNO,accepted_values,"['E', 'R', 'M']",10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,"Valores fuera del catálogo ['E', 'R', 'M'] en NIVEL_GOBIERNO.",[]
siaf_ingresos,Validez,siaf.NIVEL_GOBIERNO_NOMBRE.accepted_values,Catálogo válido: NIVEL_GOBIERNO_NOMBRE,NIVEL_GOBIERNO_NOMBRE,accepted_values,"['GOBIERNO NACIONAL', 'GOBIERNOS REGIONALES', 'GOBIERNOS LOCALES']",10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,"Valores fuera del catálogo ['GOBIERNO NACIONAL', 'GOBIERNOS REGIONALES', 'GOBIERNOS LOCALES'] en NIVEL_GOBIERNO_NOMBRE.",[]
siaf_ingresos,Validez,siaf.FUENTE_FINANCIAMIENTO.accepted_values,Catálogo válido: FUENTE_FINANCIAMIENTO,FUENTE_FINANCIAMIENTO,accepted_values,"['2', '3', '4', '5']",10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,"Valores fuera del catálogo ['2', '3', '4', '5'] en FUENTE_FINANCIAMIENTO.",[]
siaf_ingresos,Validez,siaf.RUBRO.accepted_values,Catálogo válido: RUBRO,RUBRO,accepted_values,"['04', '07', '08', '09', '13', '15', '18', '19']",10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,"Valores fuera del catálogo ['04', '07', '08', '09', '13', '15', '18', '19'] en RUBRO.",[]
siaf_ingresos,Validez,siaf.GENERICA.accepted_values,Catálogo válido: GENERICA,GENERICA,accepted_values,"['1', '2', '3', '4', '5', '6', '7', '8', '9']",10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,"Valores fuera del catálogo ['1', '2', '3', '4', '5', '6', '7', '8', '9'] en GENERICA.",[]
siaf_ingresos,Validez,siaf.ANO_DOC.numeric,Tipo numérico: ANO_DOC,ANO_DOC,numeric_type,numérico,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores no convertibles a número en ANO_DOC.,[]
siaf_ingresos,Validez,siaf.MES_DOC.numeric,Tipo numérico: MES_DOC,MES_DOC,numeric_type,numérico,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores no convertibles a número en MES_DOC.,[]
siaf_ingresos,Validez,siaf.GENERICA.numeric,Tipo numérico: GENERICA,GENERICA,numeric_type,numérico,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores no convertibles a número en GENERICA.,[]
siaf_ingresos,Validez,siaf.SUBGENERICA.numeric,Tipo numérico: SUBGENERICA,SUBGENERICA,numeric_type,numérico,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores no convertibles a número en SUBGENERICA.,[]
siaf_ingresos,Validez,siaf.SUBGENERICA_DET.numeric,Tipo numérico: SUBGENERICA_DET,SUBGENERICA_DET,numeric_type,numérico,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores no convertibles a número en SUBGENERICA_DET.,[]
siaf_ingresos,Validez,siaf.ESPECIFICA.numeric,Tipo numérico: ESPECIFICA,ESPECIFICA,numeric_type,numérico,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores no convertibles a número en ESPECIFICA.,[]
siaf_ingresos,Validez,siaf.ESPECIFICA_DET.numeric,Tipo numérico: ESPECIFICA_DET,ESPECIFICA_DET,numeric_type,numérico,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores no convertibles a número en ESPECIFICA_DET.,[]
siaf_ingresos,Validez,siaf.MONTO_PIA.numeric,Tipo numérico: MONTO_PIA,MONTO_PIA,numeric_type,numérico,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores no convertibles a número en MONTO_PIA.,[]
siaf_ingresos,Validez,siaf.MONTO_PIM.numeric,Tipo numérico: MONTO_PIM,MONTO_PIM,numeric_type,numérico,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores no convertibles a número en MONTO_PIM.,[]
siaf_ingresos,Validez,siaf.MONTO_RECAUDADO.numeric,Tipo numérico: MONTO_RECAUDADO,MONTO_RECAUDADO,numeric_type,numérico,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores no convertibles a número en MONTO_RECAUDADO.,[]
siaf_ingresos,Exactitud,siaf.ANO_DOC.range,Rango numérico: ANO_DOC,ANO_DOC,accepted_range,"[2000, 2030]",10777068,10777068,0,100.0,Alta,profiling_bronze,Sin observaciones,"Valores fuera del rango [2000, 2030] en ANO_DOC.",[]
siaf_ingresos,Exactitud,siaf.MES_DOC.range,Rango numérico: MES_DOC,MES_DOC,accepted_range,"[1, 12]",10777068,10777068,0,100.0,Alta,profiling_bronze,Sin observaciones,"Valores fuera del rango [1, 12] en MES_DOC.",[]
siaf_ingresos,Conformidad,siaf.ANO_DOC.regex,Formato regex: ANO_DOC,ANO_DOC,regex,^\d{4}$,10777068,10777068,0,100.0,Alta,dictionary_mef,Sin observaciones,Valores que no cumplen el patrón ^\d{4}$ en ANO_DOC.,[]
siaf_ingresos,Exactitud,siaf.MONTO_PIA.range,Rango numérico: MONTO_PIA,MONTO_PIA,accepted_range,"[0.0, 30000000000.0]",10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,"Valores fuera del rango [0.0, 30000000000.0] en MONTO_PIA.",[]
siaf_ingresos,Exactitud,siaf.MONTO_PIM.range,Rango numérico: MONTO_PIM,MONTO_PIM,accepted_range,"[-2100000000.0, 30000000000.0]",10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,"Valores fuera del rango [-2100000000.0, 30000000000.0] en MONTO_PIM.",[]
siaf_ingresos,Exactitud,siaf.MONTO_RECAUDADO.range,Rango numérico: MONTO_RECAUDADO,MONTO_RECAUDADO,accepted_range,"[-1700000000.0, 12000000000.0]",10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,"Valores fuera del rango [-1700000000.0, 12000000000.0] en MONTO_RECAUDADO.",[]
siaf_ingresos,Consistencia,siaf.nivel_gobierno_nombre_m.conditional_value,NIVEL_GOBIERNO=M → NIVEL_GOBIERNO_NOMBRE=GOBIERNOS LOCALES,"NIVEL_GOBIERNO,NIVEL_GOBIERNO_NOMBRE",conditional_value,GOBIERNOS LOCALES,8880692,8880692,0,100.0,Alta,dictionary_mef,Sin observaciones,Inconsistencias entre NIVEL_GOBIERNO y NIVEL_GOBIERNO_NOMBRE.,[]
siaf_ingresos,Consistencia,siaf.nivel_gobierno_nombre_r.conditional_value,NIVEL_GOBIERNO=R → NIVEL_GOBIERNO_NOMBRE=GOBIERNOS REGIONALES,"NIVEL_GOBIERNO,NIVEL_GOBIERNO_NOMBRE",conditional_value,GOBIERNOS REGIONALES,1189584,1189584,0,100.0,Alta,dictionary_mef,Sin observaciones,Inconsistencias entre NIVEL_GOBIERNO y NIVEL_GOBIERNO_NOMBRE.,[]
siaf_ingresos,Consistencia,siaf.nivel_gobierno_nombre_e.conditional_value,NIVEL_GOBIERNO=E → NIVEL_GOBIERNO_NOMBRE=GOBIERNO NACIONAL,"NIVEL_GOBIERNO,NIVEL_GOBIERNO_NOMBRE",conditional_value,GOBIERNO NACIONAL,706792,706792,0,100.0,Alta,dictionary_mef,Sin observaciones,Inconsistencias entre NIVEL_GOBIERNO y NIVEL_GOBIERNO_NOMBRE.,[]
siaf_ingresos,Consistencia,siaf.PLIEGO_PLIEGO_NOMBRE.code_name,Consistencia código-nombre: PLIEGO → PLIEGO_NOMBRE,"PLIEGO,PLIEGO_NOMBRE",code_name_consistency,1 nombre por código,1896376,427744,1468632,22.5559,Media,profiling_bronze,Con observaciones,74 código(s) de PLIEGO con múltiples nombres en PLIEGO_NOMBRE. Puede indicar renombramientos institucionales sin homologar.,[]
siaf_ingresos,Consistencia,siaf.EJECUTORA_EJECUTORA_NOMBRE.code_name,Consistencia código-nombre: EJECUTORA → EJECUTORA_NOMBRE,"EJECUTORA,EJECUTORA_NOMBRE",code_name_consistency,1 nombre por código,10777068,8586994,2190074,79.6784,Media,profiling_bronze,Con observaciones,128 código(s) de EJECUTORA con múltiples nombres en EJECUTORA_NOMBRE. Puede indicar renombramientos institucionales sin homologar.,[]
siaf_ingresos,Consistencia,siaf.DEPARTAMENTO_EJECUTORA_DEPARTAMENTO_EJECUTORA_NOMBRE.code_name,Consistencia código-nombre: DEPARTAMENTO_EJECUTORA → DEPARTAMENTO_EJECUTORA_NOMBRE,"DEPARTAMENTO_EJECUTORA,DEPARTAMENTO_EJECUTORA_NOMBRE",code_name_consistency,1 nombre por código,10775452,10775452,0,100.0,Media,profiling_bronze,Sin observaciones,0 código(s) de DEPARTAMENTO_EJECUTORA con múltiples nombres en DEPARTAMENTO_EJECUTORA_NOMBRE. Puede indicar renombramientos institucionales sin homologar.,[]
siaf_ingresos,Consistencia,siaf.FUENTE_FINANCIAMIENTO_FUENTE_FINANCIAMIENTO_NOMBRE.code_name,Consistencia código-nombre: FUENTE_FINANCIAMIENTO → FUENTE_FINANCIAMIENTO_NOMBRE,"FUENTE_FINANCIAMIENTO,FUENTE_FINANCIAMIENTO_NOMBRE",code_name_consistency,1 nombre por código,10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,0 código(s) de FUENTE_FINANCIAMIENTO con múltiples nombres en FUENTE_FINANCIAMIENTO_NOMBRE. Puede indicar renombramientos institucionales sin homologar.,[]
siaf_ingresos,Consistencia,siaf.RUBRO_RUBRO_NOMBRE.code_name,Consistencia código-nombre: RUBRO → RUBRO_NOMBRE,"RUBRO,RUBRO_NOMBRE",code_name_consistency,1 nombre por código,10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,0 código(s) de RUBRO con múltiples nombres en RUBRO_NOMBRE. Puede indicar renombramientos institucionales sin homologar.,[]
siaf_ingresos,Consistencia,siaf.TIPO_RECURSO_TIPO_RECURSO_NOMBRE.code_name,Consistencia código-nombre: TIPO_RECURSO → TIPO_RECURSO_NOMBRE,"TIPO_RECURSO,TIPO_RECURSO_NOMBRE",code_name_consistency,1 nombre por código,10777068,12731,10764337,0.1181,Media,profiling_bronze,Con observaciones,55 código(s) de TIPO_RECURSO con múltiples nombres en TIPO_RECURSO_NOMBRE. Puede indicar renombramientos institucionales sin homologar.,[]
siaf_ingresos,Consistencia,siaf.GENERICA_GENERICA_NOMBRE.code_name,Consistencia código-nombre: GENERICA → GENERICA_NOMBRE,"GENERICA,GENERICA_NOMBRE",code_name_consistency,1 nombre por código,10777068,10777068,0,100.0,Media,profiling_bronze,Sin observaciones,0 código(s) de GENERICA con múltiples nombres en GENERICA_NOMBRE. Puede indicar renombramientos institucionales sin homologar.,[]
