dataset,column_name,parquet_type,inferred_type,row_count,null_count,null_pct,empty_string_count,empty_string_pct,missing_like_count,missing_like_pct,non_missing_count,unique_count,unique_pct,cardinality_class,min_length,max_length,avg_length,numeric_valid_count,numeric_valid_pct,numeric_min,numeric_max,numeric_mean,q1,q3,iqr,outlier_count_iqr,outlier_pct_iqr,datetime_valid_pct,datetime_detected_format,datetime_min,datetime_max,sample_values,top_values
municipalidades_2022,P55_7_1,large_string,integer,1874,0,0.0,1868,99.6798,1868,99.6798,6,6,0.3202,baja_categorica,2,3,2.6667,6,100.0,15.0,273.0,137.5,55.25,192.0,136.75,0,0.0,0.0,,,,"[""131"", ""30"", ""196"", ""15"", ""180""]","{""131"": 1, ""30"": 1, ""196"": 1, ""15"": 1, ""180"": 1, ""273"": 1}"
municipalidades_2022,P55_7_O,large_string,text,1874,0,0.0,1868,99.6798,1868,99.6798,6,4,0.2134,baja_categorica,8,17,13.8333,0,0.0,,,,,,,,,0.0,,,,"[""FOLLETOS"", ""ARCHIVO HISTORICO"", ""JUEGOS DIDÁCTICOS"", ""OBRAS LITERARIAS""]","{""FOLLETOS"": 2, ""ARCHIVO HISTORICO"": 2, ""JUEGOS DIDÁCTICOS"": 1, ""OBRAS LITERARIAS"": 1}"
municipalidades_2022,P55_8,large_string,integer,1874,0,0.0,1428,76.2006,1428,76.2006,446,2,0.1067,baja_categorica,1,1,1.0,446,100.0,1.0,2.0,1.704,1.0,2.0,1.0,0,0.0,0.0,,,,"[""1"", ""2""]","{""2"": 314, ""1"": 132}"
municipalidades_2022,P55_8_1,large_string,integer,1874,0,0.0,1742,92.9562,1742,92.9562,132,81,4.3223,baja_categorica,1,5,3.0455,132,100.0,1.0,37900.0,2680.5076,49.0,2538.0,2489.0,12,9.0909,0.0,,,,"[""5000"", ""20"", ""1"", ""5462"", ""150""]","{""1"": 9, ""5000"": 7, ""200"": 5, ""2500"": 5, ""20"": 5, ""2000"": 4, ""50"": 4, ""1500"": 4, ""2"": 3, ""10"": 3}"
municipalidades_2022,P55_9,large_string,integer,1874,0,0.0,1428,76.2006,1428,76.2006,446,2,0.1067,baja_categorica,1,1,1.0,446,100.0,1.0,2.0,1.7915,2.0,2.0,0.0,,,0.0,,,,"[""1"", ""2""]","{""2"": 353, ""1"": 93}"
municipalidades_2022,P55_9_1,large_string,integer,1874,0,0.0,1781,95.0374,1781,95.0374,93,62,3.3084,baja_categorica,1,5,3.172,93,100.0,1.0,29156.0,3842.4086,50.0,5400.0,5350.0,8,8.6022,0.0,,,,"[""5000"", ""14300"", ""1"", ""6800"", ""5734""]","{""1"": 7, ""2"": 6, ""5000"": 4, ""100"": 4, ""80"": 3, ""300"": 3, ""200"": 3, ""1500"": 2, ""500"": 2, ""30"": 2}"
municipalidades_2022,VFI_P56,large_string,categorical_indicator,1874,0,0.0,1428,76.2006,1428,76.2006,446,1,0.0534,baja_categorica,1,1,1.0,446,100.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,"[""1""]","{""1"": 446}"
municipalidades_2022,P56,large_string,integer,1874,0,0.0,1428,76.2006,1428,76.2006,446,2,0.1067,baja_categorica,1,1,1.0,446,100.0,1.0,2.0,1.5247,1.0,2.0,1.0,0,0.0,0.0,,,,"[""1"", ""2""]","{""2"": 234, ""1"": 212}"
municipalidades_2022,P56_T,large_string,integer,1874,0,0.0,1662,88.6873,1662,88.6873,212,24,1.2807,baja_categorica,1,2,1.1792,212,100.0,1.0,51.0,5.0755,1.0,6.0,5.0,22,10.3774,0.0,,,,"[""1"", ""25"", ""3"", ""15"", ""5""]","{""1"": 93, ""5"": 20, ""2"": 18, ""3"": 15, ""4"": 11, ""8"": 6, ""10"": 6, ""20"": 6, ""15"": 5, ""12"": 4}"
municipalidades_2022,P56_A,large_string,integer,1874,0,0.0,1662,88.6873,1662,88.6873,212,24,1.2807,baja_categorica,1,2,1.1368,212,100.0,0.0,51.0,4.0849,1.0,5.0,4.0,21,9.9057,0.0,,,,"[""0"", ""1"", ""25"", ""5"", ""9""]","{""1"": 66, ""0"": 46, ""2"": 19, ""5"": 18, ""3"": 11, ""4"": 8, ""8"": 5, ""9"": 4, ""7"": 4, ""10"": 4}"
municipalidades_2022,VFI_P57,large_string,categorical_indicator,1874,0,0.0,1428,76.2006,1428,76.2006,446,1,0.0534,baja_categorica,1,1,1.0,446,100.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,"[""1""]","{""1"": 446}"
municipalidades_2022,P57_1,large_string,integer,1874,0,0.0,1428,76.2006,1428,76.2006,446,2,0.1067,baja_categorica,1,1,1.0,446,100.0,1.0,2.0,1.926,2.0,2.0,0.0,,,0.0,,,,"[""2"", ""1""]","{""2"": 413, ""1"": 33}"
municipalidades_2022,P57_1_1,large_string,integer,1874,0,0.0,1841,98.2391,1841,98.2391,33,2,0.1067,baja_categorica,1,1,1.0,33,100.0,1.0,2.0,1.1515,1.0,1.0,0.0,,,0.0,,,,"[""2"", ""1""]","{""1"": 28, ""2"": 5}"
municipalidades_2022,P57_2,large_string,integer,1874,0,0.0,1428,76.2006,1428,76.2006,446,2,0.1067,baja_categorica,1,1,1.0,446,100.0,1.0,2.0,1.6345,1.0,2.0,1.0,0,0.0,0.0,,,,"[""1"", ""2""]","{""2"": 283, ""1"": 163}"
municipalidades_2022,P57_2_1,large_string,integer,1874,0,0.0,1711,91.302,1711,91.302,163,6,0.3202,baja_categorica,1,1,1.0,163,100.0,1.0,6.0,1.1779,1.0,1.0,0.0,,,0.0,,,,"[""1"", ""2"", ""5"", ""3"", ""6""]","{""1"": 144, ""2"": 15, ""5"": 1, ""3"": 1, ""6"": 1, ""4"": 1}"
municipalidades_2022,P57_3,large_string,integer,1874,0,0.0,1428,76.2006,1428,76.2006,446,2,0.1067,baja_categorica,1,1,1.0,446,100.0,1.0,2.0,1.9439,2.0,2.0,0.0,,,0.0,,,,"[""1"", ""2""]","{""2"": 421, ""1"": 25}"
municipalidades_2022,P57_3_1,large_string,integer,1874,0,0.0,1849,98.666,1849,98.666,25,3,0.1601,baja_categorica,1,1,1.0,25,100.0,1.0,3.0,1.16,1.0,1.0,0.0,,,0.0,,,,"[""1"", ""2"", ""3""]","{""1"": 22, ""2"": 2, ""3"": 1}"
municipalidades_2022,P57_4,large_string,integer,1874,0,0.0,1428,76.2006,1428,76.2006,446,2,0.1067,baja_categorica,1,1,1.0,446,100.0,1.0,2.0,1.8251,2.0,2.0,0.0,,,0.0,,,,"[""1"", ""2""]","{""2"": 368, ""1"": 78}"
municipalidades_2022,P57_4_1,large_string,integer,1874,0,0.0,1796,95.8378,1796,95.8378,78,5,0.2668,baja_categorica,1,1,1.0,78,100.0,1.0,5.0,1.2949,1.0,1.0,0.0,,,0.0,,,,"[""1"", ""2"", ""3"", ""5"", ""4""]","{""1"": 65, ""2"": 8, ""3"": 2, ""5"": 2, ""4"": 1}"
municipalidades_2022,P57_5,large_string,integer,1874,0,0.0,1428,76.2006,1428,76.2006,446,2,0.1067,baja_categorica,1,1,1.0,446,100.0,1.0,2.0,1.9462,2.0,2.0,0.0,,,0.0,,,,"[""2"", ""1""]","{""2"": 422, ""1"": 24}"
municipalidades_2022,P57_5_1,large_string,integer,1874,0,0.0,1850,98.7193,1850,98.7193,24,3,0.1601,baja_categorica,1,1,1.0,24,100.0,1.0,3.0,1.2083,1.0,1.0,0.0,,,0.0,,,,"[""1"", ""2"", ""3""]","{""1"": 20, ""2"": 3, ""3"": 1}"
municipalidades_2022,P57_6,large_string,integer,1874,0,0.0,1428,76.2006,1428,76.2006,446,2,0.1067,baja_categorica,1,1,1.0,446,100.0,1.0,2.0,1.9753,2.0,2.0,0.0,,,0.0,,,,"[""2"", ""1""]","{""2"": 435, ""1"": 11}"
municipalidades_2022,P57_6_1,large_string,integer,1874,0,0.0,1863,99.413,1863,99.413,11,3,0.1601,baja_categorica,1,1,1.0,11,100.0,1.0,4.0,1.3636,1.0,1.0,0.0,,,0.0,,,,"[""1"", ""4"", ""2""]","{""1"": 9, ""4"": 1, ""2"": 1}"
municipalidades_2022,P57_6_O,large_string,text,1874,0,0.0,1863,99.413,1863,99.413,11,6,0.3202,baja_categorica,5,18,11.7273,0,0.0,,,,,,,,,0.0,,,,"[""SCANER"", ""EQUIPO DE SONIDO"", ""CAMARA FOTOGRAFICA"", ""SCANNER"", ""TABLETS""]","{""EQUIPO DE SONIDO"": 5, ""SCANER"": 2, ""CAMARA FOTOGRAFICA"": 1, ""SCANNER"": 1, ""TABLETS"": 1, ""RADIO"": 1}"
municipalidades_2022,VFI_P58,large_string,categorical_indicator,1874,0,0.0,0,0.0,0,0.0,1874,1,0.0534,baja_categorica,1,1,1.0,1874,100.0,1.0,1.0,1.0,1.0,1.0,0.0,,,0.0,,,,"[""1""]","{""1"": 1874}"
municipalidades_2022,P58_1,large_string,integer,1874,0,0.0,0,0.0,0,0.0,1874,2,0.1067,baja_categorica,1,1,1.0,1874,100.0,1.0,2.0,1.9306,2.0,2.0,0.0,,,0.0,,,,"[""2"", ""1""]","{""2"": 1744, ""1"": 130}"
municipalidades_2022,P58_1_1,large_string,integer,1874,0,0.0,1744,93.063,1744,93.063,130,2,0.1067,baja_categorica,1,1,1.0,130,100.0,1.0,2.0,1.0308,1.0,1.0,0.0,,,0.0,,,,"[""1"", ""2""]","{""1"": 126, ""2"": 4}"
municipalidades_2022,P58_2,large_string,integer,1874,0,0.0,0,0.0,0,0.0,1874,2,0.1067,baja_categorica,1,1,1.0,1874,100.0,1.0,2.0,1.9632,2.0,2.0,0.0,,,0.0,,,,"[""2"", ""1""]","{""2"": 1805, ""1"": 69}"
